vessel_id,block,length,width,height,weight,location
 SN2611, D110C,20.0,20.0,3.5,53.0,오비1
 SN2611, D360S,15.0,13.0,4.2,23.0,OFD
 SN2457, A312S,11.0,8.0,2.8,11.0,성동
 SN2612, B161S,20.0,16.0,3.2,92.0,성동
 SN2454, F120C,11.0,9.0,3.6,4.0,봉암9
 SN2454, F320C,16.0,11.0,5.2,5.0,봉암8
 SN2463, A21CS,11.0,8.0,2.6,6.0,봉암9
 SN2612, M210S,20.0,11.0,3.6,55.0,덕곡2
 SN2603, S120S,22.0,19.0,5.4,64.0,오비1
 SN2456, A12AP,11.0,7.0,2.8,6.0,한내
 SN2612, E521S,12.0,11.0,4.6,10.0,신한내
 SN2601, B131P,22.0,16.0,3.2,143.0,오비1
 SN2601, D331P,16.0,14.0,4.1,38.0,성동
 SN2601, D341P,20.0,14.0,4.1,49.0,오비3
 SN2607, E233P,11.0,10.0,4.1,18.0,OFD
 SN2627, B120S,19.0,18.0,2.6,53.0,성동
 SN2458, S16AP,21.0,11.0,1.8,56.0,성동
 SN2611, D131S,16.0,11.0,1.9,36.0,봉암9
 SN2614, A430C,15.0,11.0,2.8,23.0,한내
 SN2598, E410S,23.0,22.0,5.9,98.0,덕곡1
 SN2614, S080P,15.0,12.0,5.6,16.0,성동
 SN2591, S350P,14.0,11.0,7.0,19.0,한내
 SN2603, D131P,16.0,11.0,1.9,36.0,덕곡2
 SN2607, D620S,15.0,12.0,2.2,23.0,한내
 SN2603, D360S,15.0,13.0,4.2,23.0,성동
 SN2601, S110P,21.0,21.0,8.3,58.0,덕곡1
 SN2612, F11AS,17.0,11.0,2.6,21.0,봉암8
 SN2598, T110P,16.0,15.0,2.8,77.0,봉암9
 SN2634, A21AP,18.0,11.0,1.7,18.0,성동
 SN2607, E240C,21.0,15.0,4.0,73.0,성동
 SN2598, M310S,22.0,18.0,4.0,64.0,신한내
 SN2612, M610C,20.0,18.0,3.3,60.0,성동
 SN2607, M120S,20.0,13.0,6.2,58.0,한내
 SN2611, D161P,15.0,11.0,1.9,34.0,봉암9
 SN2627, B191S,17.0,11.0,2.3,34.0,덕곡2
 SN2455, E580S,11.0,10.0,1.0,10.0,성동
 SN2602, D370P,20.0,13.0,4.2,32.0,덕곡2
 SN2614, E470C,18.0,11.0,4.3,52.0,봉암8
 SN2614, S720S,15.0,15.0,2.8,25.0,봉암8
 SN2602, D640S,19.0,11.0,4.6,28.0,성동
 SN2603, D151P,16.0,11.0,1.9,31.0,봉암9
 SN2611, D620S,13.0,11.0,5.8,17.0,신한내
 SN2611, D770S,11.0,8.0,3.7,7.0,덕곡2
 SN2603, B140S,21.0,16.0,3.2,69.0,덕곡1
 SN2457, B131S,21.0,19.0,2.2,75.0,덕곡1
 SN2603, E370C,19.0,11.0,4.9,18.0,봉암8
 SN2591, B160P,14.0,13.0,2.5,26.0,한내
 SN2597, D170C,20.0,20.0,1.9,55.0,덕곡1
 SN2626, E550C,16.0,11.0,0.8,48.0,성동
 SN2597, F520P,20.0,20.0,7.2,84.0,오비1
 SN2601, B140P,21.0,16.0,3.2,71.0,덕곡1
 SN2453, M940S,11.0,4.0,2.4,3.0,덕곡2
