length,width,height,count,location
21.0,17.0,1000.0,2,HSG성동
21.0,18.0,1000.0,2,HSG성동
22.0,18.0,1000.0,2,HSG성동
24.0,17.0,1000.0,2,HSG성동
24.0,20.0,1000.0,2,HSG성동
20.0,18.0,1000.0,1,HSG성동
21.0,20.0,1000.0,1,HSG성동
22.0,17.0,1000.0,1,HSG성동
22.0,21.0,1000.0,1,HSG성동
23.0,18.0,1000.0,1,HSG성동
23.0,21.0,1000.0,1,HSG성동
24.0,18.0,1000.0,1,HSG성동
20.0,15.0,1000.0,1,덕곡1
22.0,20.0,1000.0,1,덕곡1
16.0,11.0,5.0,1,덕곡2
18.0,12.0,5.0,1,덕곡2
20.0,14.0,5.0,1,덕곡2
16.0,15.0,5.8,1,봉암8
17.0,15.0,5.8,1,봉암8
20.0,13.0,5.8,1,봉암8
19.0,14.0,5.8,1,봉암9
20.0,19.0,1000.0,1,신한내
20.0,20.0,1000.0,1,신한내
21.0,21.0,1000.0,1,신한내
22.0,21.0,1000.0,1,신한내
22.0,22.0,1000.0,1,신한내
23.0,20.0,1000.0,1,신한내
24.0,19.0,1000.0,1,신한내
24.0,22.0,1000.0,1,신한내
22.0,19.0,1000.0,1,오비
23.0,22.0,1000.0,1,오비
18.0,14.0,1000.0,2,오비3
23.0,11.0,1000.0,3,한내
23.0,13.0,1000.0,3,한내
20.0,13.0,1000.0,2,한내
22.0,12.0,1000.0,2,한내
24.0,11.0,1000.0,2,한내
21.0,12.0,1000.0,1,한내
21.0,13.0,1000.0,1,한내
22.0,11.0,1000.0,1,한내
23.0,12.0,1000.0,1,한내
24.0,12.0,1000.0,1,한내
24.0,13.0,1000.0,1,한내
